cole_depto_ubicacion,cole_mcpio_ubicacion,estu_depto_presentacion,estu_depto_reside,fami_tienecomputador,fami_tieneinternet,punt_matematicas,punt_lectura_critica,punt_ingles,punt_c_naturales,punt_sociales_ciudadanas,punt_global,grupo_tec
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,50.0,66.0,57.0,62.0,55.0,291.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,Si,41.0,51.0,53.0,33.0,31.0,200.0,Solo internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,Si,41.0,51.0,53.0,33.0,31.0,200.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,No,Si,67.0,58.0,47.0,63.0,67.0,312.0,Solo internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,45.0,54.0,50.0,49.0,58.0,257.0,Computador + internet
SANTANDER,GALAN,SANTANDER,SANTANDER,Si,No,57.0,56.0,50.0,56.0,54.0,277.0,Solo computador
SANTANDER,SOCORRO,SANTANDER,SANTANDER,Si,Si,48.0,55.0,53.0,41.0,55.0,250.0,Computador + internet
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,54.0,59.0,48.0,59.0,46.0,270.0,Sin acceso
SANTANDER,BARRANCABERMEJA,SANTANDER,SANTANDER,No,No,54.0,59.0,48.0,59.0,46.0,270.0,Sin acceso
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,68.0,51.0,49.0,59.0,50.0,282.0,Computador + internet
SANTANDER,LEBRIJA,SANTANDER,SANTANDER,No,No,39.0,48.0,41.0,44.0,35.0,208.0,Sin acceso
SANTANDER,SAN JOSE DE MIRANDA,SANTANDER,SANTANDER,No,No,35.0,34.0,52.0,40.0,32.0,183.0,Sin acceso
SANTANDER,CAPITANEJO,SANTANDER,SANTANDER,No,No,70.0,54.0,58.0,71.0,57.0,313.0,Sin acceso
SANTANDER,SAN GIL,SANTANDER,SANTANDER,No,No,52.0,54.0,49.0,54.0,55.0,267.0,Sin acceso
SANTANDER,SAN VICENTE DE CHUCURI,SANTANDER,SANTANDER,No,No,42.0,43.0,36.0,44.0,23.0,189.0,Sin acceso
SANTANDER,EL PLAYON,SANTANDER,SANTANDER,No,No,49.0,47.0,52.0,60.0,57.0,266.0,Sin acceso
SANTANDER,CIMITARRA,SANTANDER,SANTANDER,Si,No,41.0,31.0,41.0,34.0,44.0,189.0,Solo computador
SANTANDER,GIRON,SANTANDER,SANTANDER,Si,Si,53.0,60.0,54.0,59.0,59.0,287.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,56.0,38.0,46.0,53.0,259.0,Computador + internet
SANTANDER,BUCARAMANGA,SANTANDER,SANTANDER,Si,Si,57.0,56.0,38.0,46.0,53.0,259.0,Computador + internet
